region_5,rice_type,group,group_label,road_classes,radius_px,requested_buffer_m,effective_radius_m_approx,total_rice_area_acres,road_proximity_rice_area_acres,exposure_proportion
South,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,1,30,30,243047.98904851777,7101.267351003228,0.029217552380512216
South,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,1,30,30,243047.98904851777,27521.737240118346,0.1132358154776767
Central,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,1198230.8159430367,10629.934351389531,0.008871357846879872
Central,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,1198230.8159430367,52442.09374506797,0.043766270277229326
Central,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,1198230.8159430367,286906.89344352577,0.23944209214626405
East,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,288560.5562647559,2561.8637447381366,0.008878080143384575
East,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,288560.5562647559,12051.563929138512,0.041764418828196107
East,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,288560.5562647559,74894.48597356543,0.2595451261358442
National,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,3731267.9759361367,23288.28941736684,0.006241387530340554
National,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,3731267.9759361367,124485.56835417873,0.03336280566204752
National,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,3731267.9759361367,641899.2745096274,0.1720324776053056
North,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,1112913.9201817836,3610.316829846702,0.003244021630403358
North,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,1112913.9201817836,25391.52078112829,0.02281535015482674
North,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,1112913.9201817836,117996.3894407706,0.10602472239856343
Northeast,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,883926.2167341657,4437.108674728506,0.0050197726809396515
Northeast,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,883926.2167341657,22301.84908486291,0.025230441933560194
Northeast,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,883926.2167341657,115366.88208777086,0.13051641630679975
South,minor,G1_major,Major roads + links,motorway;trunk;primary;motorway_link;trunk_link;primary_link,2,60,60,243047.98904851777,2027.0745065339456,0.008340223321614467
South,minor,G2_plus_secondary_tertiary,+ Secondary and tertiary,motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link,2,60,60,243047.98904851777,12021.863466302599,0.049462920937407
South,minor,G3_all_11,+ Residential and unclassified (all 11),motorway;trunk;primary;secondary;tertiary;motorway_link;trunk_link;primary_link;secondary_link;residential;unclassified,2,60,60,243047.98904851777,45972.506534905755,0.18914991526932
